№;Предметы;Содержимое;Многоугольник;Результат;Описание
1;01.jpeg;Машинка, Значок;square_small.jpeg;True;Помещается, но впритык
2;02.jpeg;Значок;square_small.jpeg;True;Помещается, свободного места еще много
3;03.jpeg;Машинка;square_small.jpeg;True;Помещается, машинка при этом помещается при любом повороте
4;04.jpeg;Подставка;square_small.jpeg;False;Не помещается, ну совсем. Никак.
5;05.jpeg;Скотч;square_small.jpeg;False;Не помещается, хотя если просто сравнивать площади, то поместится
6;06.jpeg;Флешка;square_small.jpeg;True;Помещается, но впритык
7;07.jpeg;Отвертка;square_small.jpeg;False;Не помещается, но если распологать по диагонали, то ложится прямо на границы
8;08.jpeg;Флешка, Машинка;square_small.jpeg;True;Помещается, хорошо ложатся
9;09.jpeg;Калькулятор;square_small.jpeg;False;Не помещается, ну совсем. Никак.
10;10.jpeg;Игрушка;square_small.jpeg;True;Помещается, хорошо ложится
11;01.jpeg;Машинка, Значок;triangle_small.jpeg;False;Не помещается, треугольник слишком маленький для любого предмета из набора, тем более для комбинаций
12;02.jpeg;Значок;triangle_small.jpeg;False;Не помещается, треугольник слишком маленький для любого предмета из набора, тем более для комбинаций
13;03.jpeg;Машинка;triangle_small.jpeg;False;Не помещается, треугольник слишком маленький для любого предмета из набора, тем более для комбинаций
14;04.jpeg;Подставка;triangle_small.jpeg;False;Не помещается, треугольник слишком маленький для любого предмета из набора, тем более для комбинаций
15;05.jpeg;Скотч;triangle_small.jpeg;False;Не помещается, треугольник слишком маленький для любого предмета из набора, тем более для комбинаций
16;06.jpeg;Флешка;triangle_small.jpeg;False;Не помещается, треугольник слишком маленький для любого предмета из набора, тем более для комбинаций
17;07.jpeg;Отвертка;triangle_small.jpeg;False;Не помещается, треугольник слишком маленький для любого предмета из набора, тем более для комбинаций
18;08.jpeg;Флешка, Машинка;triangle_small.jpeg;False;Не помещается, треугольник слишком маленький для любого предмета из набора, тем более для комбинаций
19;09.jpeg;Калькулятор;triangle_small.jpeg;False;Не помещается, треугольник слишком маленький для любого предмета из набора, тем более для комбинаций
20;10.jpeg;Игрушка;triangle_small.jpeg;False;Не помещается, треугольник слишком маленький для любого предмета из набора, тем более для комбинаций
21;11.jpeg;Калькулятор, Машинка, Значок, Флешка;square_big.jpeg;True;Помещается, при любой расстановке
22;12.jpeg;Таблетки, Флешка, Значок, Машинка, Калькулятор, Отвертка;square_big.jpeg;True;Помещается, но для этого нужно защитить магистерскую по методам оптимизации
23;13.jpeg;Скотч, Машинка, Значок, Флешка, Таблетки;square_big.jpeg;True;Помещается, но либо флешку, либо машинку нужно класть внутрь скотча
24;14.jpeg;Скотч, Машинка, Игрушка, Флешка, Таблетки;square_big.jpeg;True;Помещается, но игрушку, и только ее, нужно класть внутрь скотча
25;15.jpeg;Подставка, Отвертка, Флешка, Значок, Машинка, Таблетки;square_big.jpeg;False;Не помещается, ну совсем. Никак.
26;16.jpeg;Ножницы, Подставка, Калькулятор;square_big.jpeg;False;Не помещается, ну совсем. Никак.
27;17.jpeg;Ножницы, Скотч, Отвертка;square_big.jpeg;False;Не помещается, хотя если просто сравнивать площади, то поместится
28;18.jpeg;Ножницы;square_middle.jpeg;False;Не помещается, ну совсем. Никак.
29;19.jpeg;Калькулятор;square_middle.jpeg;True;Помещается, но расположить можно только перпендикулярно граням
30;5.jpeg;Скотч;square_middle.jpeg;True;Помещается, хорошо, как будто под него рисовали…
31;20.jpeg;Скотч, Машинка;square_middle.jpeg;True;Помещается, но машинку нужно обязательно ставить внутрь скотча
32;18.jpeg;Ножницы;triangle_big.jpeg;True;Помещается, но нужно распологать их вдоль гипотенузы
33;21.jpeg;Калькулятор, Ножницы;triangle_big.jpeg;False;Не помещается, ну совсем. Никак.
34;22.jpeg;Подставка, Значок, Машинка;triangle_big.jpeg;True;Помещается, но машинку можно расположить только в одном из углов треугольника
35;23.jpeg;Подставка, Значок, Машинка, Флешка;triangle_big.jpeg;False;Не помещается, ну совсем. Никак.
36;24.jpeg;Скотч, Значок, Машинка, Флешка;triangle_big.jpeg;True;Помещается, но флешку, и только ее, необходимо поместить в скотч
37;25.jpeg;Таблетки, Флешка, Отвертка;triangle_big.jpeg;True;Помещается, но только если от нижней гипотенузы распологать их в порядке возрастания
38;empty.jpeg;;triangle_big.jpeg;True;На входе нет предметов, конечно ничего поместится в любой многоугольник
39;empty.jpeg;;square_middle.jpeg;True;На входе нет предметов, конечно ничего поместится в любой многоугольник
40;empty.jpeg;;square_big.jpeg;True;На входе нет предметов, конечно ничего поместится в любой многоугольник
41;01.jpeg;Машинка, Значок;empty.jpeg;False;На входе нет многоугольника, вряд ли что-то туда поместится
42;02.jpeg;Значок;empty.jpeg;False;На входе нет многоугольника, вряд ли что-то туда поместится
43;03.jpeg;Машинка;empty.jpeg;False;На входе нет многоугольника, вряд ли что-то туда поместится
44;empty.jpeg;;empty.jpeg;True;Здесь уже философский вопрос: может ли пустота поместиться в пустоту, я не философ, но думаю да
